Test 2013-5-14
51*101 Surface data points
Write Surface data .DAT file.
   51  51
   711.108   316.744   314.350
   722.180   316.183   314.350
   733.181   315.248   314.350
   744.075   313.938   314.350
   754.827   312.254   314.350
   765.401   310.196   314.350
   775.762   307.764   314.350
   785.874   304.958   314.350
   795.701   301.777   314.350
   805.208   298.222   314.350
   814.360   294.293   314.350
   823.120   289.990   314.350
   831.454   285.313   314.350
   839.325   280.262   314.350
   846.699   274.836   314.350
   853.539   269.036   314.350
   859.810   262.862   314.350
   865.476   256.314   314.350
   870.502   249.392   314.350
   874.853   242.095   314.350
   878.492   234.425   314.350
   881.385   226.380   314.350
   883.495   217.961   314.350
   884.787   209.167   314.350
   885.226   200.000   314.350
   516.173   200.000   309.683
   516.608   209.011   309.683
   517.890   217.655   309.683
   519.985   225.931   309.683
   522.855   233.838   309.683
   526.467   241.379   309.683
   530.785   248.551   309.683
   535.773   255.355   309.683
   541.397   261.792   309.683
   547.620   267.861   309.683
   554.409   273.562   309.683
   561.727   278.895   309.683
   569.539   283.860   309.683
   577.809   288.458   309.683
   586.504   292.688   309.683
   595.586   296.550   309.683
   605.022   300.044   309.683
   614.775   303.170   309.683
   624.810   305.929   309.683
   635.093   308.320   309.683
   645.587   310.343   309.683
   656.258   311.998   309.683
   667.070   313.285   309.683
   677.988   314.205   309.683
   688.976   314.756   309.683
   700.000   314.940   309.683
   711.024   314.756   309.683
   722.012   314.205   309.683
   732.930   313.285   309.683
   743.742   311.998   309.683
   754.413   310.343   309.683
   764.907   308.320   309.683
   775.190   305.929   309.683
   785.225   303.170   309.683
   794.978   300.044   309.683
   804.414   296.550   309.683
   813.496   292.688   309.683
   822.191   288.458   309.683
   830.461   283.860   309.683
   838.273   278.895   309.683
   845.591   273.562   309.683
   852.380   267.861   309.683
   858.603   261.792   309.683
   864.227   255.355   309.683
   869.215   248.551   309.683
   873.533   241.379   309.683
   877.145   233.838   309.683
   880.015   225.931   309.683
   882.110   217.655   309.683
   883.392   209.011   309.683
   883.827   200.000   309.683
   517.600   200.000   305.120
   518.032   208.862   305.120
   519.304   217.363   305.120
   521.382   225.502   305.120
   524.231   233.279   305.120
   527.814   240.694   305.120
   532.099   247.748   305.120
   537.048   254.440   305.120
   542.628   260.770   305.120
   548.804   266.739   305.120
   555.539   272.346   305.120
   562.800   277.591   305.120
   570.551   282.474   305.120
   578.758   286.996   305.120
   587.385   291.155   305.120
   596.397   294.954   305.120
   605.759   298.390   305.120
   615.436   301.465   305.120
   625.394   304.178   305.120
   635.597   306.529   305.120
   646.010   308.518   305.120
   656.598   310.146   305.120
   667.326   311.412   305.120
   678.159   312.317   305.120
   689.062   312.859   305.120
   700.000   313.040   305.120
   710.938   312.859   305.120
   721.841   312.317   305.120
   732.674   311.412   305.120
   743.402   310.146   305.120
   753.990   308.518   305.120
   764.403   306.529   305.120
   774.606   304.178   305.120
   784.564   301.465   305.120
   794.241   298.390   305.120
   803.603   294.954   305.120
   812.615   291.155   305.120
   821.242   286.996   305.120
   829.449   282.474   305.120
   837.200   277.591   305.120
   844.461   272.346   305.120
   851.196   266.739   305.120
   857.372   260.770   305.120
   862.952   254.440   305.120
   867.901   247.748   305.120
